iter	RMSE
210	26.85000677
211	26.74770277
212	26.70414842
213	26.57191416
214	26.48306907
215	26.37755711
216	26.31402159
217	26.30548123
218	26.20696667
219	26.06639399
220	25.95274268
221	25.86264834
222	25.7335968
223	25.58287422
224	25.46965925
225	25.46320595
226	25.39191765
227	25.38499144
228	25.32923089
229	25.22326379
230	25.09111794
231	24.98057942
232	24.8670779
233	24.75822445
234	24.75282365
235	24.67713563
236	24.5620407
237	24.44399422
238	24.34644898
239	24.20783203
240	24.20360888
241	24.13419102
242	24.02413562
243	24.01963317
244	23.90119578
245	23.77822163
246	23.65623294
247	23.60197129
248	23.47329555
249	23.46687937
250	23.38366722
251	23.30000651
252	23.24922444
253	23.12891189
254	23.1238032
255	23.00426382
256	22.90684295
257	22.78448509
258	22.64319903
259	22.5219479
260	22.42992338
261	22.30455172
262	22.22761389
263	22.0624847
264	21.98079846
265	21.9756913
266	21.90111055
267	21.8452528
268	21.71332011
269	21.62451859
270	21.51696059
271	21.44455699
272	21.2908361
273	21.15769728
274	21.09754719
275	21.05509874
276	20.99380921
277	20.98989763
278	20.90772864
279	20.80942101
280	20.755091
281	20.75054393
282	20.66262126
283	20.56841877
284	20.56274164
285	20.49606379
286	20.3745181
287	20.29727693
288	20.18598492
289	20.11433529
290	20.0268595
291	20.02056409
292	19.96570408
293	19.9174156
294	19.81095914
295	19.78140516
296	19.71216547
297	19.66482693
298	19.66104066
299	19.58993012
300	19.48890878
301	19.42723486
302	19.3794163
303	19.36217837
304	19.24066984
305	19.16557639
306	19.13019803
307	19.05317863
308	19.01070928
309	18.92310929
310	18.86373065
311	18.77936837
312	18.69111918
313	18.68657119
314	18.66585076
315	18.6615969
316	18.60682518
317	18.57658385
318	18.57330345
319	18.56982195
320	18.47042031
321	18.46756794
322	18.36076518
323	18.31263409
324	18.20973294
325	18.12349218
326	18.05066147
327	17.99399285
328	17.91740082
329	17.8975986
330	17.79757119
331	17.72407894
332	17.69360424
333	17.65091341
334	17.58283185
335	17.50765326
336	17.48276442
337	17.45188179
338	17.40343958
339	17.33218392
340	17.26227037
341	17.18119014
342	17.09523889
343	17.03452844
344	16.95849428
345	16.88555268
346	16.80856078
347	16.80631365
348	16.73491115
349	16.66567248
350	16.57404856
351	16.57178502
352	16.49797273
353	16.45942266
354	16.41020679
355	16.40747936
356	16.37127659
357	16.36735458
358	16.34761177
359	16.30174342
360	16.20696245
361	16.14590669
362	16.06457116
363	16.02671642
364	15.94035222
365	15.89793666
366	15.88701986
367	15.87200098
368	15.86814117
369	15.8087251
370	15.77204197
371	15.70438292
372	15.69030479
373	15.62826584
374	15.5657039
375	15.46422621
376	15.4451579
377	15.38203206
378	15.35593252
379	15.30735116
380	15.27640827
381	15.20063182
382	15.17403261
383	15.08542878
384	14.99461093
385	14.94141602
386	14.8868423
387	14.88379342
388	14.82609571
389	14.77116182
390	14.72906178
391	14.69613752
392	14.66973805
393	14.58456642
394	14.57326982
395	14.50812809
396	14.47443562
397	14.45529569
398	14.40426734
399	14.33021079
400	14.28243811
401	14.24677084
402	14.21094195
403	14.18735139
404	14.15826411
405	14.15629688
406	14.1541962
407	14.1134669
408	14.11148448
409	14.06052133
410	14.03542866
411	13.98287325
412	13.97441362
413	13.93979414
414	13.90888023
415	13.83932997
416	13.81163261
417	13.79500075
418	13.78980838
419	13.77050811
420	13.75761885
421	13.69089862
422	13.67544981
423	13.65444171
424	13.61179965
425	13.56364129
426	13.5419739
427	13.47029455
428	13.43725063
429	13.41450196
430	13.41316495
431	13.35713039
432	13.31285849
433	13.26270667
434	13.21133617
435	13.15011536
436	13.12921737
437	13.11683303
438	13.10940736
439	13.09756156
440	13.06884216
441	13.04490341
442	13.04094574
443	12.99817354
444	12.95595284
445	12.95372566
446	12.95188629
447	12.87582282
448	12.84139197
449	12.7802511
450	12.75030461
451	12.7140948
452	12.67281646
453	12.62680838
454	12.58824752
455	12.5630249
456	12.54580433
457	12.4915101
458	12.42239689
459	12.41833256
460	12.40951843
461	12.37853002
462	12.32648187
463	12.26794214
464	12.20285084
465	12.18921595
466	12.14164211
467	12.12284419
468	12.05312471
469	11.99656703
470	11.97214433
471	11.94026024
472	11.90098353
473	11.88272127
474	11.85992855
475	11.843336
476	11.81416772
477	11.78317534
478	11.76918992
479	11.73011027
480	11.72014178
481	11.70739531
482	11.68999408
483	11.62866232
484	11.59134667
485	11.5678288
486	11.55214557
487	11.49331936
488	11.43119188
489	11.41668807
490	11.4019571
491	11.36602086
492	11.34794268
493	11.33941971
494	11.28996476
495	11.25631135
496	11.21113883
497	11.20456571
498	11.16301674
499	11.14610799
