iter	RMSE
0	75.79630766
1	74.40104767
2	72.8159483
3	71.36001427
4	69.77513614
5	68.2822056
6	67.13132521
7	66.11924669
8	64.87587528
9	63.81358085
10	62.83244108
11	61.78808321
12	60.99071543
13	60.26101629
14	59.48510326
15	58.77750631
16	58.13983955
17	57.48026043
18	56.95528107
19	56.33983495
20	55.81210609
21	55.27285522
22	54.76986316
23	54.24531473
24	53.71252445
25	53.40135802
26	52.85244362
27	52.45181541
28	52.17159812
29	51.68131801
30	51.19392415
31	50.82702071
32	50.44921044
33	50.22746918
34	49.89067375
35	49.5625404
36	49.25839111
37	48.91081225
38	48.64202527
39	48.42110533
40	48.12165109
41	47.77508313
42	47.39390647
43	47.15392121
44	46.95405486
45	46.80978866
46	46.60684746
47	46.26806216
48	46.07063163
49	45.90922032
50	45.631172
51	45.32229097
52	45.05479553
53	44.8636957
54	44.7871327
55	44.62240724
56	44.48415801
57	44.32723405
58	44.15284386
59	43.97434366
60	43.84640092
61	43.71080737
62	43.63191829
63	43.50731442
64	43.28607262
65	43.08415006
66	42.95269713
67	42.81461985
68	42.63195189
69	42.46503117
70	42.39126521
71	42.25457267
72	42.10457466
73	42.04488829
74	41.88675073
75	41.7705295
76	41.58771291
77	41.50672048
78	41.39543764
79	41.28774562
80	41.15170331
81	40.93868927
82	40.85457951
83	40.68452633
84	40.43810838
85	40.21654156
86	40.1386673
87	40.02786264
88	39.87981116
89	39.69330043
90	39.63533775
91	39.57485714
92	39.45143397
93	39.32717663
94	39.17410142
95	39.10061833
96	38.98098301
97	38.82673484
98	38.70288313
99	38.53691706
100	38.40871321
101	38.23321048
102	38.10450351
103	38.0357068
104	37.92765107
105	37.85875353
106	37.75028636
107	37.64914001
108	37.59748388
109	37.52615482
110	37.40080935
111	37.21939796
112	37.11789683
113	36.97925925
114	36.85875635
115	36.68941629
116	36.56797407
117	36.51952839
118	36.50177013
119	36.45125284
120	36.4228393
121	36.3382939
122	36.17252991
123	36.12752874
124	35.99657625
125	35.88330848
126	35.83098889
127	35.81502408
128	35.79687289
129	35.65579438
130	35.48932891
131	35.26068995
132	35.20103114
133	35.16533561
134	35.02476051
135	34.94849626
136	34.938246
137	34.77887236
138	34.71604745
139	34.57234483
140	34.42846819
141	34.39218352
142	34.16979262
143	34.06223291
144	33.96767499
145	33.84758274
146	33.70867355
147	33.69687459
148	33.5733099
149	33.56390803
150	33.55070612
151	33.45007293
152	33.44079368
153	33.4317394
154	33.25607679
155	33.18274197
156	33.03635887
157	32.87409724
158	32.64076887
159	32.49396913
160	32.40408493
161	32.24037205
162	32.10758405
163	32.09997173
164	32.03310331
165	31.92788501
166	31.74486558
167	31.73451886
168	31.58555693
169	31.49192323
170	31.3867319
171	31.3587054
172	31.1588495
173	30.97907317
174	30.92382021
175	30.73782489
176	30.62733633
177	30.5221843
178	30.28850873
179	30.13490624
180	29.98198257
181	29.8224045
182	29.7914531
183	29.63826623
184	29.45369471
185	29.44651733
186	29.29830124
187	29.17202137
188	29.05696035
189	29.04460756
190	28.8465629
191	28.83892926
192	28.7493807
193	28.60290402
194	28.47540383
195	28.39683855
196	28.25878657
197	28.12379173
198	27.97006301
199	27.88443311
200	27.71163246
201	27.68672247
202	27.60319803
203	27.49237905
204	27.39782537
205	27.28886454
206	27.27692322
207	27.11071714
208	26.95988124
209	26.85852757
